date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:39:51	89824/89824	---M--	200	added ('OK')	font/woff	date:Fri,%2004%20Sep%202020%2012:18:08%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-brands-400.woff	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-brands-400.woff	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
06:39:52	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2004%20Sep%202020%2012:18:06%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-brands-400.eot?	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-brands-400d41d.eot	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
06:39:52	132728/132728	---M--	200	added ('OK')	font/ttf	date:Fri,%2004%20Sep%202020%2012:18:08%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-brands-400.ttf	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-brands-400.ttf	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
06:39:52	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2004%20Sep%202020%2012:18:09%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-regular-400.eot	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-regular-400.eot	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
06:39:52	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2004%20Sep%202020%2012:18:09%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-regular-400.eot?	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-regular-400d41d.eot	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
06:39:52	715890/715890	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2004%20Sep%202020%2012:18:09%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-brands-400.svg	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-brands-400.svg	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
06:39:53	13600/13600	---M--	200	added ('OK')	font/woff2	date:Fri,%2004%20Sep%202020%2012:18:11%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-regular-400.woff2	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-regular-400.woff2	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
06:39:53	16800/16800	---M--	200	added ('OK')	font/woff	date:Fri,%2004%20Sep%202020%2012:18:11%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-regular-400.woff	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-regular-400.woff	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
06:39:53	34092/34092	---M--	200	added ('OK')	font/ttf	date:Fri,%2004%20Sep%202020%2012:18:10%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-regular-400.ttf	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-regular-400.ttf	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
06:39:53	144322/144322	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2004%20Sep%202020%2012:18:10%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-regular-400.svg	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-regular-400.svg	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
06:39:53	194078/194078	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2004%20Sep%202020%2012:18:12%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-solid-900.eot	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-solid-900.eot	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
06:39:54	194078/194078	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2004%20Sep%202020%2012:18:12%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-solid-900.eot?	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-solid-900d41d.eot	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
